n_qubits,N,classical_queries_expected,grover_queries,speedup_factor,classical_time_s
1,2,1.0,1,1.0,4.800502210855484e-07
2,4,2.0,1,2.0,1.6000121831893922e-07
3,8,4.0,2,2.0,2.599786967039108e-07
4,16,8.0,3,2.6666666666666665,2.400018274784088e-07
5,32,16.0,4,4.0,2.800021320581436e-07
6,64,32.0,6,5.333333333333333,5.199108272790909e-07
7,128,64.0,8,8.0,8.800532668828965e-07
8,256,128.0,12,10.666666666666666,1.16005539894104e-06
9,512,256.0,17,15.058823529411764,1.360056921839714e-06
10,1024,512.0,25,20.48,3.460003063082695e-06
11,2048,1024.0,35,29.257142857142856,1.001991331577301e-05
12,4096,2048.0,50,40.96,2.4039950221776963e-05
13,8192,4096.0,71,57.690140845070424,3.079995512962341e-05
14,16384,8192.0,100,81.92,8.816001936793328e-05
15,32768,16384.0,142,115.38028169014085,0.0001275199931114912
16,65536,32768.0,201,163.02487562189054,0.000264739990234375
17,131072,65536.0,284,230.7605633802817,0.0005599400028586388
