n_qubits,N,mem_mb,cpu_time_s,gpu_time_s,speedup
10,1024,0.015625,0.01546263100010492,1.6578673399999388,0.009326820443972008
11,2048,0.03125,0.026225852999914423,0.05542698800002199,0.4731603492490701
12,4096,0.0625,0.04120170000010148,0.07879669900000863,0.5228861173498774
13,8192,0.125,0.0908912520000058,0.10674137500006964,0.8515090985098
14,16384,0.25,0.2098709230000395,0.15554814699999042,1.349234478505568
15,32768,0.5,0.14396830900000168,0.18312629600006858,0.7861695023851067
16,65536,1.0,0.24832720700010213,0.27260029000001396,0.9109572370597604
17,131072,2.0,0.5005098829999497,0.4403034550000484,1.136738486414772
18,262144,4.0,1.0821990399999777,0.7657701710000993,1.4132164988701779
19,524288,8.0,2.619852053000045,1.920168819999958,1.3643863110953454
20,1048576,16.0,8.435431626999957,4.494407991000003,1.8768726924417645
21,2097152,32.0,19.661392954999997,12.605701882000062,1.5597221907234613
22,4194304,64.0,113.29789660999995,32.822601865000024,3.4518255766558763
23,8388608,128.0,347.3982618079999,99.27056807899999,3.4995091549344086
