n_qubits,N,target,n_iterations,optimal_iterations,n_shots,success_count,success_probability,build_time_s,sim_time_s,total_time_s,mem_peak_mb,mem_delta_mb,statevector_size_mb,counts,circuit_depth,circuit_gate_count,k,p_theory
5,32,10,1,4,2048,538,0.2626953125,0.0007040000054985285,0.011157300090417266,0.011861300095915794,0.025188446044921875,0.025188446044921875,0.00048828125,"{'11101': 44, '00101': 51, '01010': 538, '01001': 58, '11001': 48, '10110': 38, '10011': 48, '00011': 46, '10010': 55, '01011': 56, '10100': 47, '11100': 32, '00001': 36, '00111': 56, '01100': 67, '00110': 55, '10111': 61, '01110': 53, '01000': 53, '01111': 44, '11011': 49, '01101': 39, '11000': 47, '00100': 45, '10101': 46, '10001': 48, '11111': 49, '00010': 54, '11110': 49, '11010': 45, '00000': 51, '10000': 40}",14,42,1,0.25830078125
5,32,10,2,4,2048,1220,0.595703125,0.0008508998434990644,0.01180270011536777,0.012653599958866835,0.0252685546875,0.0252685546875,0.00048828125,"{'11011': 28, '10010': 29, '10110': 34, '00001': 34, '01010': 1220, '10001': 29, '10100': 27, '01110': 28, '01001': 25, '00011': 28, '11010': 24, '11111': 31, '00100': 18, '00000': 31, '00010': 21, '11101': 19, '00101': 25, '10101': 35, '01101': 19, '01111': 33, '11100': 31, '01100': 16, '00110': 29, '11110': 17, '11000': 26, '01011': 22, '10011': 33, '11001': 31, '10111': 22, '00111': 29, '01000': 32, '10000': 22}",26,74,2,0.6024246215820311
5,32,10,3,4,2048,1836,0.896484375,0.0011766001116484404,0.011477999854832888,0.012654599966481328,0.027608871459960938,0.027608871459960938,0.00048828125,"{'01010': 1836, '01101': 9, '10100': 8, '10111': 11, '10010': 7, '00011': 8, '11111': 8, '00010': 7, '01001': 8, '01110': 8, '00100': 6, '11110': 13, '10101': 12, '11010': 7, '00000': 6, '00101': 8, '01100': 6, '11001': 5, '01011': 5, '00110': 9, '11011': 10, '10001': 8, '00001': 4, '10011': 7, '11100': 3, '11000': 1, '01111': 3, '11101': 3, '10000': 5, '01000': 6, '00111': 8, '10110': 3}",38,106,3,0.896936535835266
5,32,10,4,4,2048,2047,0.99951171875,0.001349099911749363,0.013325799955055118,0.01467489986680448,0.027647972106933594,0.027647972106933594,0.00048828125,"{'01010': 2047, '11111': 1}",50,138,4,0.9991823155432941
5,32,10,5,4,2048,1788,0.873046875,0.001581900054588914,0.014245999976992607,0.01582790003158152,0.03212547302246094,0.03212547302246094,0.00048828125,"{'10000': 6, '01010': 1788, '10001': 4, '00000': 11, '00010': 11, '11011': 11, '11110': 12, '11101': 6, '00001': 11, '01100': 6, '10111': 12, '01000': 8, '11000': 6, '01111': 4, '00101': 12, '01101': 9, '11001': 9, '11111': 10, '01001': 8, '11100': 10, '00110': 9, '00111': 7, '00011': 10, '10110': 12, '10011': 7, '01110': 10, '00100': 8, '01011': 5, '11010': 7, '10010': 6, '10101': 8, '10100': 5}",62,170,5,0.8596366611600389
5,32,10,6,4,2048,1071,0.52294921875,0.0017138998955488205,0.016033600084483624,0.017747499980032444,0.0348358154296875,0.0348358154296875,0.00048828125,"{'01010': 1071, '10000': 26, '00011': 35, '11111': 26, '00111': 28, '00100': 39, '11100': 38, '11101': 33, '01111': 35, '10110': 28, '00110': 37, '10001': 30, '11001': 24, '10100': 31, '11010': 25, '00101': 43, '00001': 32, '01100': 35, '00000': 36, '01110': 33, '01101': 38, '11110': 27, '10010': 31, '11011': 30, '01000': 19, '01001': 27, '10011': 32, '00010': 36, '10101': 28, '10111': 25, '01011': 37, '11000': 33}",74,202,6,0.5458919990273899
5,32,10,7,4,2048,401,0.19580078125,0.001802799990400672,0.016926300013437867,0.01872910000383854,0.03685283660888672,0.03685283660888672,0.00048828125,"{'01001': 47, '11000': 65, '10000': 59, '01010': 401, '10111': 54, '00110': 51, '00111': 59, '10110': 43, '00001': 49, '11001': 52, '00000': 42, '11011': 51, '10100': 54, '00101': 52, '11111': 57, '01000': 59, '01110': 68, '10001': 54, '10101': 51, '00011': 63, '11101': 55, '01100': 47, '10010': 55, '10011': 49, '11100': 52, '00010': 41, '01011': 50, '00100': 51, '01101': 54, '01111': 58, '11110': 58, '11010': 47}",86,234,7,0.20991839986584915
5,32,10,8,4,2048,38,0.0185546875,0.0019346000626683235,0.018161100102588534,0.020095700165256858,0.039481163024902344,0.039481163024902344,0.00048828125,"{'01110': 62, '11101': 72, '11100': 55, '11000': 83, '01100': 74, '00011': 80, '11110': 69, '10111': 71, '00110': 83, '01111': 51, '01010': 38, '00100': 80, '00001': 60, '10000': 62, '00000': 58, '00111': 62, '00101': 59, '01101': 60, '11010': 70, '11111': 74, '01001': 64, '10001': 56, '01000': 65, '11001': 64, '10110': 57, '10011': 54, '10100': 70, '00010': 50, '10101': 62, '01011': 64, '11011': 57, '10010': 62}",98,266,8,0.014453075769287534
5,32,10,9,4,2048,118,0.0576171875,0.0022060999181121588,0.01887740008533001,0.021083500003442168,0.041480064392089844,0.041480064392089844,0.00048828125,"{'10101': 64, '11110': 52, '01100': 68, '11011': 67, '00011': 50, '00000': 59, '01111': 54, '10011': 57, '10111': 64, '11000': 71, '00100': 63, '11100': 68, '10010': 66, '10000': 57, '10001': 71, '00110': 63, '11111': 62, '01001': 60, '11101': 61, '00101': 77, '01010': 118, '01011': 50, '01101': 52, '00010': 61, '10100': 67, '00001': 70, '01000': 70, '11001': 60, '11010': 48, '10110': 52, '01110': 71, '00111': 75}",110,298,9,0.054174543096977154
5,32,10,10,4,2048,638,0.3115234375,0.002380399964749813,0.02018110011704266,0.022561500081792474,0.043731689453125,0.043731689453125,0.00048828125,"{'00001': 52, '01010': 638, '00010': 37, '11101': 38, '10100': 47, '00111': 47, '01100': 58, '00100': 46, '11111': 59, '10010': 46, '10111': 50, '10000': 36, '00110': 41, '10001': 46, '00011': 60, '11110': 47, '11100': 43, '01111': 61, '01001': 48, '11001': 54, '11011': 41, '11010': 47, '01110': 50, '00000': 38, '01011': 46, '00101': 49, '11000': 39, '10110': 34, '10101': 40, '01101': 37, '10011': 35, '01000': 38}",122,330,10,0.3098427161120683
5,32,10,11,4,2048,1339,0.65380859375,0.002619900042191148,0.0209819998126477,0.023601899854838848,0.04710865020751953,0.04710865020751953,0.00048828125,"{'01010': 1339, '01011': 18, '00100': 23, '01101': 17, '11110': 29, '11001': 30, '10001': 23, '11111': 23, '00111': 32, '00000': 31, '00001': 19, '00101': 25, '00010': 20, '10100': 19, '11100': 28, '01000': 27, '10010': 20, '10011': 20, '00011': 32, '00110': 23, '11011': 24, '10110': 23, '10101': 19, '01111': 9, '10000': 24, '11101': 15, '11010': 17, '11000': 31, '01100': 17, '01001': 26, '01110': 17, '10111': 28}",134,362,11,0.6576183235103767
5,32,10,12,4,2048,1891,0.92333984375,0.0026483999099582434,0.021376899909228086,0.02402529981918633,0.04999732971191406,0.04999732971191406,0.00048828125,"{'01010': 1891, '00101': 6, '01000': 4, '10010': 4, '01101': 6, '00010': 10, '10110': 11, '10111': 6, '01001': 7, '11001': 5, '11100': 3, '00011': 3, '11011': 4, '11010': 7, '10001': 8, '00111': 8, '00110': 6, '10101': 4, '10000': 5, '11110': 6, '11000': 4, '11101': 7, '01011': 9, '11111': 4, '00000': 5, '00100': 3, '10100': 4, '01100': 5, '00001': 1, '01111': 1, '01110': 1}",146,394,12,0.9290475554583462
