n_qubits,N,target,n_iterations,optimal_iterations,n_shots,success_count,success_probability,build_time_s,sim_time_s,total_time_s,mem_delta_mb,statevector_size_mb,counts,circuit_depth,circuit_gate_count
2,4,3,1,1,512,512,1.0,0.00026309979148209095,0.0036801001988351345,0.0039431999903172255,0.0234375,6.103515625e-05,{'11': 512},8,14
3,8,3,2,2,512,482,0.94140625,0.00039609987288713455,0.004115100018680096,0.00451119989156723,0.0234375,0.0001220703125,"{'011': 482, '100': 5, '110': 7, '001': 3, '111': 7, '101': 5, '000': 2, '010': 1}",26,46
4,16,13,3,3,512,497,0.970703125,0.0008934000506997108,0.004070699913427234,0.0049640999641269445,0.0234375,0.000244140625,"{'1101': 497, '0001': 2, '1010': 2, '1001': 2, '1111': 2, '0010': 2, '0011': 2, '1110': 1, '0000': 1, '1011': 1}",32,80
5,32,11,4,4,512,512,1.0,0.0007463998626917601,0.00468640006147325,0.0054327999241650105,0.01953125,0.00048828125,{'01011': 512},50,130
6,64,51,6,6,512,511,0.998046875,0.0007941999938338995,0.005965600023046136,0.006759800016880035,0.0234375,0.0009765625,"{'110011': 511, '101010': 1}",62,216
7,128,101,8,8,512,509,0.994140625,0.0009482000023126602,0.009347000159323215,0.010295200161635876,0.02734375,0.001953125,"{'1100101': 509, '1001101': 1, '1100010': 1, '1011000': 1}",82,334
8,256,123,12,12,512,512,1.0,0.0016487999819219112,0.013051100075244904,0.014699900057166815,0.36328125,0.00390625,{'01111011': 512},146,520
9,512,311,17,17,512,511,0.998046875,0.0014093001373112202,0.015324800042435527,0.016734100179746747,0.55078125,0.0078125,"{'100110111': 511, '100010001': 1}",172,834
10,1024,394,25,25,512,512,1.0,0.001972600119188428,0.026226799935102463,0.02819940005429089,0.0234375,0.015625,{'0110001010': 512},302,1470
11,2048,210,35,35,512,512,1.0,0.002519099973142147,0.04620809992775321,0.04872719990089536,0.96484375,0.03125,{'00011010010': 512},422,2262
12,4096,1642,50,50,512,512,1.0,0.0034749999176710844,0.08315080008469522,0.0866258000023663,3.91796875,0.0625,{'011001101010': 512},602,3324
13,8192,8174,71,71,512,512,1.0,0.004660499980673194,0.1397084000054747,0.14436889998614788,1.796875,0.125,{'1111111101110': 512},712,4428
14,16384,12709,100,100,512,512,1.0,0.006439999910071492,0.3518473000731319,0.3582872999832034,5.671875,0.25,{'11000110100101': 512},1002,7628
15,32768,3354,142,142,512,512,1.0,0.009548700181767344,0.2006476998794824,0.21019640006124973,10.6875,0.5,{'000110100011010': 512},1706,11958
16,65536,23596,201,201,512,512,1.0,0.013595200143754482,0.30960749997757375,0.32320270012132823,11.56640625,1.0,{'0101110000101100': 512},2414,17720
17,131072,129425,284,284,512,512,1.0,0.018599200062453747,0.5313732998911291,0.5499724999535829,13.60546875,2.0,{'11111100110010001': 512},2842,25026
18,262144,196065,402,402,512,512,1.0,0.023999699857085943,1.2362059999722987,1.2602056998293847,22.0390625,4.0,{'101111110111100001': 512},4022,36216
19,524288,3710,568,568,512,512,1.0,0.03566679987125099,2.8217193000018597,2.8573860998731107,35.140625,8.0,{'0000000111001111110': 512},6818,57974
20,1048576,155698,804,804,512,512,1.0,0.03821939998306334,7.725130699807778,7.763350099790841,54.06640625,16.0,{'00100110000000110010': 512},9650,91696
