n_qubits,max_bond,amplitude_mag,error_vs_uncapped
7,2,1.9213436159962145e-05,0.005853541156142728
7,4,0.03966984214588766,0.03379708755358497
7,6,0.004490462234112353,0.001382292358190337
7,8,0.00587275459230269,0.0
7,10,0.00587275459230269,0.0
7,12,0.00587275459230269,0.0
7,16,0.00587275459230269,0.0
7,20,0.00587275459230269,0.0
7,24,0.00587275459230269,0.0
7,28,0.00587275459230269,0.0
7,32,0.00587275459230269,0.0
7,48,0.00587275459230269,0.0
7,64,0.00587275459230269,0.0
7,uncapped,0.00587275459230269,0.0
