contraction_width_W,contraction_cost_C,convert_time_s,rehearsal_time_s,rehearsal_time_total_s,n_qubits,N,target,circuit_depth,gate_count,statevector_bytes,tn_bytes_estimate,tn_advantage,search_repeats_used
1.0,0.0,0.021395417999883648,0.06185770499996579,0.08325312299984944,2,4,0,11,16,64,32.0,True,3
1.0,0.0,0.00930590600000869,0.020593098000063037,0.029899004000071727,3,8,0,55,93,128,32.0,True,3
4.0,3.3609718837259357,0.026108675999694242,0.4116153210002267,0.43772399699992093,4,16,0,171,234,256,256.0,False,3
5.0,3.9651075858490556,0.09560976100010521,1.0396272680000038,1.135237029000109,5,32,0,627,822,512,512.0,False,3
6.0,4.632902494152879,0.38709480399984386,5.123225781999736,5.51032058599958,6,64,0,1959,2742,1024,1024.0,False,3
10.0,5.369987251008868,0.9057406169999922,22.08442124000021,22.990161857000203,7,128,0,3317,5316,2048,16384.0,False,3
11.0,6.0342079940445466,2.370699445000355,14.24816238800031,16.618861833000665,8,256,0,6917,11471,4096,32768.0,False,3
24.0,9.752965520835284,9.011862471999848,70.34931478399994,79.36117725599979,9,512,0,13875,21888,8192,268435456.0,False,3
23.0,10.020327163331906,29.756734979000157,285.9369495139995,315.69368449299964,10,1024,0,31053,44529,16384,134217728.0,False,1
34.0,11.974645466919778,85.80896153699996,931.8382266689996,1017.6471882059996,11,2048,0,56721,86692,32768,274877906944.0,False,1
